date;associates
2022-03-23 08:29:00;33610
2022-03-23 12:29:00;33623
2022-03-23 16:29:00;33638
2022-03-23 20:29:00;33645
2022-03-24 00:29:00;33638
2022-03-24 04:29:00;33638
2022-03-24 08:29:00;33698
2022-03-24 08:38:00;33698
2022-03-24 12:38:00;33718
2022-03-24 16:38:00;33741
2022-03-24 20:38:00;33791
2022-03-25 04:38:00;33803
2022-03-25 06:56:00;33524
2022-03-25 10:56:00;33554
2022-03-25 14:56:00;33643
2022-03-25 18:56:00;33759
2022-03-25 22:56:00;33810
2022-03-26 02:56:00;33819
2022-03-26 06:56:00;33801
2022-03-26 07:19:00;33801
2022-03-26 11:19:00;33876
2022-03-26 15:19:00;34019
2022-03-26 19:19:00;34034
2022-03-26 23:19:00;34047
2022-03-27 03:19:00;34048
2022-03-27 07:19:00;34027
2022-03-27 08:14:00;34028
2022-03-27 12:14:00;34048
2022-03-27 16:14:00;34066
2022-03-27 20:14:00;34114
2022-03-28 00:14:00;34154
2022-03-28 04:14:00;34157
2022-03-28 08:14:00;34120
2022-03-28 08:58:00;34129
2022-03-28 12:58:00;34331
2022-03-28 16:58:00;34569
2022-03-28 20:58:00;34813
2022-03-28 23:21:00;34883
2022-03-29 03:21:00;34887
2022-03-29 07:21:00;34855
2022-03-29 11:21:00;34970
2022-03-29 15:21:00;35307
2022-03-29 16:47:00;35418
2022-03-29 20:47:00;35711
2022-03-30 00:47:00;35879
2022-03-30 04:47:00;35883
2022-03-30 08:47:00;35846
2022-03-30 12:47:00;36416
2022-03-30 16:47:00;36922
2022-03-30 17:37:00;37035
2022-03-30 21:37:00;37543
2022-03-31 01:37:00;37722
2022-03-31 05:20:03;37645
2022-03-31 09:32:23;37740
2022-03-31 13:29:21;38075
2022-03-31 17:19:52;38514
2022-03-31 22:22:23;38864
2022-04-01 01:26:35;38911
2022-04-01 05:22:11;38859
2022-04-01 09:38:06;39091
2022-04-01 13:27:56;39563
2022-04-01 17:21:58;39995
2022-04-02 00:00:04;40497
2022-04-02 01:22:27;40508
2022-04-02 05:21:17;40503
2022-04-02 09:27:23;40540
2022-04-02 13:23:39;40922
2022-04-02 17:17:54;41225
2022-04-02 22:17:15;41409
2022-04-03 01:22:12;41438
2022-04-03 05:20:41;41427
2022-04-03 09:28:04;41440
2022-04-03 13:24:02;41517
2022-04-03 17:19:12;41590
2022-04-03 22:19:54;41605
2022-04-04 01:24:57;41614
2022-04-04 05:26:44;41608
2022-04-04 13:31:19;41865
2022-04-04 17:23:40;42083
2022-04-04 22:13:36;42298
2022-04-05 01:23:40;42333
2022-04-05 05:22:18;42294
2022-04-05 09:31:03;42388
2022-04-05 13:31:40;42558
2022-04-05 17:24:27;42779
2022-04-05 22:16:33;42988
2022-04-06 01:24:56;43015
2022-04-06 05:24:20;42997
2022-04-06 09:34:47;43064
2022-04-06 13:27:44;43226
2022-04-06 17:19:39;43440
2022-04-06 22:18:02;43576
2022-04-07 01:23:01;43596
2022-04-07 05:22:16;43563
2022-04-07 09:36:05;43609
2022-04-07 13:31:45;43739
2022-04-07 17:22:48;43857
2022-04-07 22:15:07;43862
2022-04-08 01:25:13;43864
2022-04-08 05:24:41;43836
2022-04-08 09:34:59;43851
2022-04-08 13:26:05;43884
2022-04-08 17:19:52;43931
2022-04-08 22:13:18;44003
2022-04-09 01:22:35;44001
2022-04-09 05:20:49;43991
2022-04-09 09:28:02;44004
2022-04-09 13:23:54;44102
2022-04-09 17:19:14;44167
2022-04-09 22:20:21;44206
2022-04-09 22:43:15;44207
2022-04-10 01:22:20;44217
2022-04-10 05:20:45;44193
